Column1;Column2;Column3;Column4;Column5;;;
Fecha y Hora;45992,58167;;;;;;
X;Y;Z;Gauss;mT;;;X
262.5;-112.5;-475.0;-469.3;;;;
225.0;-112.5;-475.0;-457.81;;;;
187.5;-112.5;-475.0;-448.84;;;;
150.0;-112.5;-475.0;-441.97;;;;
112.5;-112.5;-475.0;-437.26;;;;
75.0;-112.5;-475.0;-434.18;;;;
37.5;-112.5;-475.0;-432.75;;;;
0.0;-112.5;-475.0;-432.81;;;;
-37.5;-112.5;-475.0;-434.46;;;;
-75.0;-112.5;-475.0;-437.86;;;;
-112.5;-112.5;-475.0;-443.22;;;;
-150.0;-112.5;-475.0;-450.52;;;;
-187.5;-112.5;-475.0;-460.46;;;;
-225.0;-112.5;-475.0;-473.54;;;;
-262.5;-112.5;-475.0;-491.43;;;;
-262.5;-150.0;-475.0;-507.28;;;;
-225.0;-150.0;-475.0;-486.78;;;;
-187.5;-150.0;-475.0;-471.52;;;;
-150.0;-150.0;-475.0;-460.12;;;;
-112.5;-150.0;-475.0;-451.61;;;;
-75.0;-150.0;-475.0;-445.53;;;;
-37.5;-150.0;-475.0;-441.63;;;;
0.0;-150.0;-475.0;-439.66;;;;
37.5;-150.0;-475.0;-439.54;;;;
75.0;-150.0;-475.0;-441.21;;;;
112.5;-150.0;-475.0;-444.63;;;;
150.0;-150.0;-475.0;-450.01;;;;
187.5;-150.0;-475.0;-457.65;;;;
225.0;-150.0;-475.0;-467.93;;;;
262.5;-150.0;-475.0;-481.69;;;;
262.5;-187.5;-475.0;-500.22;;;;
225.0;-187.5;-475.0;-484.19;;;;
187.5;-187.5;-475.0;-471.52;;;;
150.0;-187.5;-475.0;-462.35;;;;
112.5;-187.5;-475.0;-455.92;;;;
75.0;-187.5;-475.0;-451.68;;;;
37.5;-187.5;-475.0;-449.61;;;;
0.0;-187.5;-475.0;-449.74;;;;
-37.5;-187.5;-475.0;-452.03;;;;
-75.0;-187.5;-475.0;-456.72;;;;
-112.5;-187.5;-475.0;-463.93;;;;
-150.0;-187.5;-475.0;-474.18;;;;
-187.5;-187.5;-475.0;-487.73;;;;
-225.0;-187.5;-475.0;-505.75;;;;
-262.5;-187.5;-475.0;-530.79;;;;
-262.5;-225.0;-475.0;-567.47;;;;
-225.0;-225.0;-475.0;-535.77;;;;
-187.5;-225.0;-475.0;-512.73;;;;
-150.0;-225.0;-475.0;-495.5;;;;
-112.5;-225.0;-475.0;-482.7;;;;
-75.0;-225.0;-475.0;-473.66;;;;
-37.5;-225.0;-475.0;-467.79;;;;
0.0;-225.0;-475.0;-464.8;;;;
37.5;-225.0;-475.0;-464.72;;;;
75.0;-225.0;-475.0;-467.16;;;;
112.5;-225.0;-475.0;-472.44;;;;
150.0;-225.0;-475.0;-480.46;;;;
187.5;-225.0;-475.0;-491.76;;;;
225.0;-225.0;-475.0;-507.41;;;;
262.5;-225.0;-475.0;-528.48;;;;
262.5;-262.5;-475.0;-570.67;;;;
225.0;-262.5;-475.0;-543.22;;;;
187.5;-262.5;-475.0;-522.54;;;;
150.0;-262.5;-475.0;-507.35;;;;
112.5;-262.5;-475.0;-496.52;;;;
75.0;-262.5;-475.0;-489.31;;;;
37.5;-262.5;-475.0;-485.85;;;;
0.0;-262.5;-475.0;-485.88;;;;
-37.5;-262.5;-475.0;-489.66;;;;
-75.0;-262.5;-475.0;-497.62;;;;
-112.5;-262.5;-475.0;-509.67;;;;
-150.0;-262.5;-475.0;-526.55;;;;
-187.5;-262.5;-475.0;-549.21;;;;
-225.0;-262.5;-475.0;-579.76;;;;
-262.5;-262.5;-475.0;-622.46;;;;
0;0;0;-454.14;;;;
-262.5;-262.5;-425.0;-566.28;;;;
-225.0;-262.5;-425.0;-544.29;;;;
-187.5;-262.5;-425.0;-527.61;;;;
-150.0;-262.5;-425.0;-514.38;;;;
-112.5;-262.5;-425.0;-504.02;;;;
-75.0;-262.5;-425.0;-496.28;;;;
-37.5;-262.5;-425.0;-491.05;;;;
0.0;-262.5;-425.0;-488.32;;;;
37.5;-262.5;-425.0;-488.15;;;;
75.0;-262.5;-425.0;-490.31;;;;
112.5;-262.5;-425.0;-494.38;;;;
150.0;-262.5;-425.0;-500.43;;;;
187.5;-262.5;-425.0;-508.5;;;;
225.0;-262.5;-425.0;-518.6;;;;
262.5;-262.5;-425.0;-531.07;;;;
262.5;-225.0;-425.0;-509.16;;;;
225.0;-225.0;-425.0;-498.87;;;;
187.5;-225.0;-425.0;-490.39;;;;
150.0;-225.0;-425.0;-483.47;;;;
112.5;-225.0;-425.0;-478.51;;;;
75.0;-225.0;-425.0;-475.1;;;;
37.5;-225.0;-425.0;-473.41;;;;
0.0;-225.0;-425.0;-473.62;;;;
-37.5;-225.0;-425.0;-475.72;;;;
-75.0;-225.0;-425.0;-479.85;;;;
-112.5;-225.0;-425.0;-485.99;;;;
